"predicate","certainty_content","utterance_type","count","mean_certainty_rating","ci_low","ci_high","YMin","YMax"
"MC","not_p","MC",12,0.389166666666667,0.0758541666666667,0.0675208333333333,0.3133125,0.4566875
"MC","p","MC",12,0.428333333333333,0.1350625,0.140833333333333,0.293270833333333,0.569166666666667
"simple","not_p","polar",4,0.5025,0.0599999999999999,0.0825,0.4425,0.585
"simple","p","polar",4,0.5675,0.0975,0.13,0.47,0.6975
"think","not_p","pos",4,0.5025,0.0825,0.09,0.42,0.5925
"think","not_p","neg",2,0.585,0.085,0.0850000000000001,0.5,0.67
"think","p","neg",2,0.515,0.285,0.285,0.23,0.8
"know","not_p","neg",4,0.81,0.1375,0.12,0.6725,0.93
"know","p","pos",4,0.83,0.1725,0.1625,0.6575,0.9925
"say","not_p","pos",3,0.523333333333333,0.0533333333333333,0.0766666666666667,0.47,0.6
"say","not_p","neg",3,0.453333333333333,0.213333333333333,0.136666666666667,0.24,0.59
"say","p","pos",1,0.61,0,0,0.61,0.61
"say","p","neg",1,0.62,0,0,0.62,0.62
"confirm","not_p","pos",1,0.28,0,0,0.28,0.28
"confirm","not_p","neg",3,0.743333333333333,0.123333333333333,0.246666666666667,0.62,0.99
"confirm","p","pos",3,0.56,0.13,0.19,0.43,0.75
"confirm","p","neg",1,0.7,0,0,0.7,0.7
"inform","not_p","pos",1,0.5,0,0,0.5,0.5
"inform","not_p","neg",2,0.85,0.14,0.14,0.71,0.99
"inform","p","pos",3,0.933333333333333,0.113333333333333,0.0566666666666666,0.82,0.99
"inform","p","neg",2,0.54,0.32,0.32,0.22,0.86
